Monto Solicitado;Meses;Cuota Proveedor (VIVA);Cuota App (Prestax);Diferencia (Gs);% Margen
1000000;3;370000;414500;44500;12.03%
1000000;6;195000;224200;29200;14.97%
1000000;12;108000;125600;17600;16.30%
1500000;3;555000;621750;66750;12.03%
1500000;6;292000;336300;44300;15.17%
1500000;12;161000;188400;27400;17.02%
2000000;3;739000;829000;90000;12.18%
2000000;6;389000;448400;59400;15.27%
2000000;12;215000;251200;36200;16.84%
2500000;3;924000;1036250;112250;12.15%
2500000;6;485000;560500;75500;15.57%
2500000;12;269000;314000;45000;16.73%
3000000;3;1107000;1243500;136500;12.33%
3000000;6;583000;672600;89600;15.37%
3000000;12;322000;376800;54800;17.02%
4000000;3;1476000;1658000;182000;12.33%
4000000;6;777000;896800;119800;15.42%
4000000;12;430000;502400;72400;16.84%
5000000;3;1845000;2072500;227500;12.33%
5000000;6;970000;1121000;151000;15.57%
5000000;12;536000;628000;92000;17.16%
